site,eastings,northings,D,type,ID,rep,depth,sample_no,bottle,cylinder,sieve,tin,sieve+sample0.6-2,sieve0.6-2,sandL,sieve+sample0.212-0.6,sieve0.212-0.6,sandM,sieve+sample0.063-0.212,sieve0.063-0.212,sandS,bottle+sample0.002-0.063,bottle0.002-0.063,Z,bottle+sample<0.002,bottle<0.002,C,S,F,%sandL,%sandM,%sandS,SAND,SILT,CLAY,total
CP,504462.9078,252135.545,0.063905,FW,20,1,2,34,10A,3A,3,3C,92.0782,91.686,0.3922,86.4166,85.3496,1.067,88.8016,87.1813,1.6203,84.6325,84.126,0.5065,82.7848,82.4761,0.3087,3.0795,11.9314,3.29,8.94,13.58,25.81,33.16,41.03,100
CP,504462.9078,252135.545,0.063905,FW,20,1,3,35,11A,8C,4,8A,90.2827,89.9136,0.3691,84.2458,83.5717,0.6741,86.2416,84.7967,1.4449,79.646,79.0414,0.6046,83.4113,83.0743,0.337,2.4881,13.302,2.77,5.07,10.86,18.7,40.23,41.06,100
CP,504462.9078,252135.545,0.063905,FW,20,1,4,36,13A,11C,6,11A,88.1728,87.5913,0.5815,82.8605,82.2671,0.5934,80.3693,79.0886,1.2807,81.3035,80.7322,0.5713,81.0048,80.6174,0.3874,2.4556,12.6035,4.61,4.71,10.16,19.48,29.18,51.33,100
CP,504643.189,252265.545,0.063905,FW,11,1,1,37,24C,2C,2,2A,91.193,91.1006,0.0924,85.9225,84.4465,1.476,87.3145,86.4636,0.8509,83.9991,83.607,0.3921,85.3245,85.0886,0.2359,2.4193,8.9832,1.03,16.43,9.47,26.93,34.78,38.29,100
CP,504643.189,252265.545,0.063905,FW,11,1,2,38,22A,12A,7,12B,92.7684,92.6216,0.1468,87.6248,86.1831,1.4417,85.2059,84.2698,0.9361,80.4097,80.1049,0.3048,79.9771,79.7132,0.2639,2.5246,7.3425,2,19.64,12.75,34.38,11.14,54.48,100
CP,504643.189,252265.545,0.063905,FW,11,1,3,39,14A,11A,6,11B,87.7748,87.6106,0.1642,84.0837,82.4512,1.6325,80.0044,79.1335,0.8709,81.091,80.6171,0.4739,80.4342,80.1433,0.2909,2.6676,10.8675,1.51,15.02,8.01,24.55,33.68,41.78,100
CP,504643.189,252265.545,0.063905,FW,11,1,4,40,21C,7C,1,7A,89.223,88.839,0.384,86.2566,84.2035,2.0531,83.6728,82.4675,1.2053,80.2304,79.9426,0.2878,81.4907,81.2317,0.259,3.6424,8.1203,4.73,25.28,14.84,44.86,7.09,48.05,100
CP,504593.189,252215.545,0.063905,FW,14,1,1,41,22B,11C,2,10C,91.1378,91.0946,0.0432,85.1664,84.4092,0.7572,87.2202,86.4524,0.7678,78.9503,78.5282,0.4221,81.6042,81.3196,0.2846,1.5682,8.7321,0.49,8.67,8.79,17.96,31.49,50.55,100
CP,504593.189,252215.545,0.063905,FW,14,1,2,42,17A,9C,3,9A,91.8757,91.6964,0.1793,86.3609,85.4082,0.9527,88.1969,87.2328,0.9641,80.4437,80.0513,0.3924,79.1776,78.8561,0.3215,2.0961,8.666,2.07,10.99,11.13,24.19,16.36,59.45,100
CP,504593.189,252215.545,0.063905,FW,14,1,3,43,22C,9A,3,9B,91.806,91.6968,0.1092,85.9383,85.4092,0.5291,87.6097,87.2344,0.3753,81.8493,81.2817,0.5676,80.4131,79.9987,0.4144,1.0136,11.0875,0.98,4.77,3.38,9.14,27.63,63.22,100
CP,504593.189,252215.545,0.063905,FW,14,1,4,44,20C,12C,9,12A,93.1197,92.9881,0.1316,86.4829,86.1455,0.3374,84.6003,84.2697,0.3306,80.474,79.8627,0.6113,80.32,79.9072,0.4128,0.7996,11.7475,1.12,2.87,2.81,6.81,33.79,59.4,100
CP,504543.189,252165.545,0.063905,FW,16,1,1,45,18B,7C,8,7C,93.134,92.9625,0.1715,88.4522,86.9869,1.4653,85.6589,84.4993,1.1596,80.4254,80.0075,0.4179,80.0608,79.7946,0.2662,2.7964,9.8763,1.74,14.84,11.74,28.31,30.72,40.97,100
CP,504543.189,252165.545,0.063905,FW,16,1,2,46,16A,8A,2,8B,91.3238,91.0988,0.225,85.8627,84.446,1.4167,87.6637,86.4657,1.198,81.8305,81.4018,0.4287,81.5928,81.3103,0.2825,2.8397,10.1356,2.22,13.98,11.82,28.02,28.85,43.13,100
CP,504543.189,252165.545,0.063905,FW,16,1,3,47,19A,10A,4,10B,90.1072,89.9212,0.186,85.1194,83.6899,1.4295,86.1687,84.8452,1.3235,80.401,79.9465,0.4545,84.2852,83.9957,0.2895,2.939,10.7509,1.73,13.3,12.31,27.34,30.7,41.97,100
CP,504543.189,252165.545,0.063905,FW,16,1,4,48,23C,6A,7,8C,92.8454,92.6254,0.22,87.7431,86.1528,1.5903,85.2987,84.2629,1.0358,80.178,79.6625,0.5155,80.2785,80.0257,0.2528,2.8461,11.878,1.85,13.39,8.72,23.96,44.23,31.81,100
CP,504553.189,252455.545,0.063905,PA,17,1,1,49,13B,4C,4,10A,89.9899,89.9161,0.0738,84.8364,83.631,1.2054,85.6095,84.8393,0.7702,85.5639,85.21012,0.35378,80.0114,79.7889,0.2225,2.0494,7.8469,0.94,15.36,9.82,26.12,33.46,40.42,100
CP,504553.189,252455.545,0.063905,PA,17,1,2,50,1B,1C,1,1A,88.9642,88.8375,0.1267,85.5085,84.784,0.7245,83.3893,82.4629,0.9264,80.4421,80.0203,0.4218,84.3883,84.1308,0.2575,1.7776,8.9355,1.42,8.11,10.37,19.89,36.77,43.33,100
CP,504553.189,252455.545,0.063905,PA,17,1,3,51,18A,7A,1,6B,89.1022,88.8374,0.2648,86.0065,84.199,1.8075,83.5147,82.4664,1.0483,83.7799,83.3245,0.4554,80.0477,79.7855,0.2622,3.1206,10.9505,2.42,16.51,9.57,28.5,35.29,36.22,100
CP,504553.189,252455.545,0.063905,PA,17,1,4,52,24A,4C,4,4A,90.332,89.9213,0.4107,85.7033,83.6804,2.0229,88.0104,84.8399,3.1705,85.6579,85.2043,0.4536,83.0244,82.7947,0.2297,5.6041,13.398,3.07,15.1,23.66,41.83,33.42,24.75,100
CP,504543.189,252365.545,0.063905,FW,2,1,1,53,20A,6C,7,6A,92.7515,92.623,0.1285,86.8391,86.1769,0.6622,85.1309,84.2623,0.8686,82.3648,81.9313,0.4335,81.61,81.3321,0.2779,1.6593,9.0512,1.42,7.32,9.6,18.33,34.38,47.29,100
CP,504543.189,252365.545,0.063905,FW,2,1,2,54,15A,5C,6,5A,87.8228,87.6103,0.2125,83.1178,82.441,0.6768,80.0459,79.1123,0.9336,80.4741,79.9944,0.4797,80.1821,79.8731,0.309,1.8229,10.1388,2.1,6.68,9.21,17.98,33.67,48.35,100
CP,504543.189,252365.545,0.063905,FW,2,1,3,55,19C,11C,8,11A,93.236,92.9675,0.2685,87.7282,87.0354,0.6928,85.5866,84.5119,1.0747,82.8979,82.4925,0.4054,80.0784,79.7582,0.3202,2.036,8.8659,3.03,7.81,12.12,22.96,19.22,57.82,100
CP,504543.189,252365.545,0.063905,FW,2,1,4,56,9B,3C,3,3A,92.0725,91.697,0.3755,85.9539,85.4066,0.5473,88.1436,87.2254,0.9182,84.6315,84.1226,0.5089,82.7525,82.4725,0.28,1.841,10.7409,3.5,5.1,8.55,17.14,42.62,40.24,100
CP,504493.189,252315.545,0.063905,FW,4,1,1,57,16B,5A,1,5C,88.991,88.8383,0.1527,85.0889,84.2397,0.8492,83.6496,82.4636,1.186,80.3314,79.9133,0.4181,80.3046,79.9211,0.3835,2.1879,9.2718,1.65,9.16,12.79,23.6,7.46,68.94,100
CP,504493.189,252315.545,0.063905,FW,4,1,2,58,16C,8C,9,8C,93.2714,92.985,0.2864,87.0829,86.134,0.9489,85.6177,84.2549,1.3628,80.5923,80.0896,0.5027,83.4035,83.0668,0.3367,2.5981,11.374,2.52,8.34,11.98,22.84,29.19,47.97,100
CP,504493.189,252315.545,0.063905,FW,4,1,3,59,14B,3C,3,9A,91.9119,91.6863,0.2256,85.946,85.352,0.594,88.4049,87.1832,1.2217,80.1946,79.7001,0.4945,80.0803,79.7614,0.3189,2.0413,10.6532,2.12,5.58,11.47,19.16,32.97,47.87,100
CP,504493.189,252315.545,0.063905,FW,4,1,4,60,19B,4A,4,4C,90.2941,89.9152,0.3789,84.1706,83.6279,0.5427,86.005,84.8359,1.1691,85.732,85.2062,0.5258,80.2886,79.9934,0.2952,2.0907,11.3286,3.34,4.79,10.32,18.46,40.71,40.83,100
CP,504522.6586,252605.0603,0.063905,SP,1,1,1,61,14C,1C,1,4A,88.8818,88.8282,0.0536,85.7115,84.1884,1.5231,83.6711,82.4474,1.2237,83.7366,83.335,0.4016,81.6219,81.3961,0.2258,2.8004,9.5543,0.56,15.94,12.81,29.31,36.8,33.89,100
CP,504522.6586,252605.0603,0.063905,SP,1,1,2,62,13C,6A,7,6C,92.757,92.6196,0.1374,87.6691,86.1335,1.5356,85.622,64.2582,21.3638,82.3771,81.935,0.4421,80.1648,79.9174,0.2474,23.0368,30.6007,0.45,5.02,69.81,75.28,12.73,11.99,100
