treatment,ID,depth,massDensity,cumFRC,ol_frm,block
FW,12,2,1.93580900942409,3.41179298598868,FALSE,2
FW,12,3,0.436220218170859,3.84801320415953,FALSE,2
FW,12,4,0.217609404139355,4.06562260829889,FALSE,2
FW,13,1,5.69285891025257,7.73696790094298,FALSE,2
FW,13,2,6.86495192820124,3.43247596410062,TRUE,2
FW,13,3,0.699591479590138,4.13206744369076,FALSE,2
FW,13,4,0.758471002125939,4.89053844581669,FALSE,2
FW,14,1,5.81699337804753,2.90849668902376,FALSE,2
FW,14,2,2.96557546389039,4.39128442096896,TRUE,2
FW,14,3,0.672235589050003,5.06352001001896,FALSE,2
FW,14,4,1.05309194225982,6.11661195227878,TRUE,2
FW,15,1,4.95441146798975,2.47720573399487,FALSE,2
FW,15,2,1.85482074270414,3.40461610534695,FALSE,2
FW,15,3,1.07331562532342,4.47793173067036,FALSE,2
FW,15,4,0.297146170497875,4.77507790116824,FALSE,2
FW,16,1,2.11479561769232,1.05739780884616,FALSE,2
FW,16,2,1.12789099610257,1.62134330689745,FALSE,2
FW,16,3,0.283093913037674,1.90443721993512,FALSE,2
FW,16,4,0.157087882465539,2.06152510240066,FALSE,2
FW,17,1,4.53273599969549,2.26636799984775,FALSE,2
FW,17,2,1.13954276259124,2.83613938114336,FALSE,2
FW,17,3,0.191167965441114,3.02730734658448,FALSE,2
FW,17,4,0.182610923178512,3.20991826976299,FALSE,2
FW,18,1,3.78400466902314,1.89200233451157,FALSE,2
FW,18,2,1.59166196489475,2.68783331695894,FALSE,2
FW,18,3,0.413594714899237,3.10142803185818,FALSE,2
FW,18,4,0.267421854027109,3.36884988588529,FALSE,2
FW,19,1,3.32680946095743,1.66340473047872,FALSE,2
FW,19,2,0.81810900806752,2.07245923451248,FALSE,2
FW,19,3,1.74349562374634,3.81595485825882,TRUE,2
FW,19,4,1.53426348734541,5.35021834560423,TRUE,2
FW,20,1,1.792491803097,0.896245901548499,FALSE,2
FW,20,2,0.197213083395911,0.994852443246455,FALSE,2
FW,20,3,0.72370729774136,1.71855974098782,FALSE,2
FW,20,4,0.24331519472374,1.96187493571156,FALSE,2
PA,1,1,2.45880237150361,1.2294011857518,FALSE,1
PA,1,2,0.872519449815198,1.6656609106594,FALSE,1
PA,1,3,0.323746489622035,1.98940740028144,FALSE,1
PA,1,4,0.247344516689161,2.2367519169706,FALSE,1
PA,2,1,6.33960765394094,3.16980382697047,FALSE,1
PA,2,2,1.38300919760196,3.86130842577145,FALSE,1
PA,2,3,0.457540687098213,4.31884911286967,FALSE,1
PA,2,4,1.01040235067522,5.32925146354489,TRUE,1
PA,3,1,2.99455059465233,1.49727529732617,FALSE,1
PA,3,2,0.708210625459755,1.85138061005604,FALSE,1
PA,3,3,0.151239929022845,2.00262053907889,FALSE,1
PA,3,4,0.819809659204185,2.82243019828307,FALSE,1
PA,4,1,2.92725947081706,1.46362973540853,FALSE,1
PA,4,2,0.83347827285521,1.88036887183613,FALSE,1
PA,4,3,0.209840185321409,2.09020905715754,FALSE,1
PA,4,4,0.109336372071168,2.19954542922871,FALSE,1
PA,5,1,4.32976576464376,2.16488288232188,FALSE,1
PA,5,2,0.491378981757922,2.41057237320084,FALSE,1
PA,5,3,0.245420726003801,2.65599309920464,FALSE,1
PA,5,4,0.244568200685507,2.90056129989015,FALSE,1
PA,6,1,3.27251065455722,1.63625532727861,FALSE,1
PA,6,2,0.378728104083462,1.82561937932034,FALSE,1
PA,6,3,0.236493273376346,2.06211265269669,FALSE,1
PA,6,4,0.20051395486268,2.26262660755937,FALSE,1
PA,7,1,2.80210419344233,1.40105209672116,FALSE,1
PA,7,2,0.447478493018955,1.62479134323064,FALSE,1
PA,7,3,0.0643633448862881,1.68915468811693,FALSE,1
PA,7,4,0.187981832683762,1.87713652080069,FALSE,1
PA,8,1,2.14936137073039,1.07468068536519,FALSE,1
PA,8,2,0.832293513405522,1.49082744206795,FALSE,1
PA,8,3,0.193267789314588,1.68409523138254,FALSE,1
PA,8,4,0.0773151086038054,1.76141033998635,FALSE,1
PA,9,1,4.48101693659918,2.24050846829959,FALSE,1
PA,9,2,0.467604808800858,2.47431087270002,FALSE,1
PA,9,3,0.075528414917583,2.5498392876176,FALSE,1
PA,9,4,0.0903758810979625,2.64021516871556,FALSE,1
PA,10,1,2.39229260879692,1.19614630439846,FALSE,1
PA,10,2,0.320240479250552,1.35626654402374,FALSE,1
PA,10,3,0.218528880494873,1.57479542451861,FALSE,1
PA,10,4,0.0917530373813601,1.66654846189997,FALSE,1
PA,11,1,4.21007004506749,2.10503502253374,FALSE,1
PA,11,2,0.507550948246158,2.35881049665682,FALSE,1
PA,11,3,0.0776863696295139,2.43649686628634,FALSE,1
PA,11,4,0.119705412322207,2.55620227860854,FALSE,1
PA,12,1,3.55757888666009,1.77878944333004,FALSE,1
PA,12,2,0.799712628539114,2.1786457575996,FALSE,1
PA,12,3,0.529496338668063,2.70814209626766,FALSE,1
PA,12,4,0.0970646296129581,2.80520672588062,FALSE,1
PA,13,1,0.209205587986767,0.104602793993384,FALSE,1
PA,13,2,1.4727653583724,0.840985473179583,FALSE,1
PA,13,3,0.203186245621419,1.044171718801,FALSE,1
PA,13,4,0.0484640662387824,1.09263578503978,FALSE,1
PA,14,1,7.04931872564108,3.52465936282054,FALSE,1
PA,14,2,0.341519789192549,3.69541925741681,FALSE,1
PA,14,3,0.167022185834005,3.86244144325082,FALSE,1
