year,ID,block,ctrltmt,treat,dist_m,depth_cm,di_cm,OCC_g_100g,BD_g_cm3,mEquiv,mMeas,tC,SOC_ESM_Mg_ha2,SOC_Mg_ha2
2011,C21,B2,ctrl,Control,C,5,10,3.595070268,1.15,100000,11.5,8.694652174,35.94656835,41.34330808
2011,C21,B2,ctrl,Control,C,16,10,3.27,1.27,100000,12.7,7.873015748,32.6958471,41.529
2011,C21,B2,ctrl,Control,C,30,20,1.5,1.33,200000,26.6,15.03559398,29.99601,39.9
2011,C21,B2,ctrl,Control,C,50,20,1.254756102,1.26,200000,25.2,15.87101587,25.09196005,31.61985377
2011,C21,B2,ctrl,Control,C,83,45,0.89921583,1.27,450000,57.15,35.42857087,40.45957333,51.39018468
2011,C21,B2,ctrl,Control,C,128,45,0.550391716,1.22,450000,54.9,36.8807459,24.76460557,30.21650521
2011,C22,B2,ctrl,Control,C,5,10,3.219926907,1.21,100000,12.1,8.26346281,32.19537296,38.96111557
2011,C22,B2,ctrl,Control,C,16,10,3.56,1.18,100000,11.8,8.473576271,35.5957992,42.008
2011,C22,B2,ctrl,Control,C,30,20,1.1,1.31,200000,26.2,15.26517557,21.997118,28.82
2011,C22,B2,ctrl,Control,C,50,20,0.708312972,1.26,200000,25.2,15.87101587,14.16447449,17.84948689
2011,C22,B2,ctrl,Control,C,83,45,0.851382544,1.42,450000,63.9,31.68564085,38.30677415,54.40334456
2011,C22,B2,ctrl,Control,C,128,45,0.455250413,1.16,450000,52.2,38.78860345,20.48389218,23.76407156
2011,C31,B3,ctrl,Control,C,5,10,3.006382757,1.13,100000,11.3,8.848557522,30.06043036,33.97212515
2011,C31,B3,ctrl,Control,C,16,10,2.5,1.18,100000,11.8,8.473576271,24.99705,29.5
2011,C31,B3,ctrl,Control,C,30,20,1.31,1.26,200000,25.2,15.87101587,26.1966988,33.012
2011,C31,B3,ctrl,Control,C,50,20,1.25078237,1.23,200000,24.6,16.2581626,25.01257048,30.7692463
2011,C31,B3,ctrl,Control,C,83,45,0.507351293,1.26,450000,56.7,35.70978571,22.8279315,28.76681831
2011,C31,B3,ctrl,Control,C,128,45,0.505176265,1.11,450000,49.95,40.53604054,22.73040857,25.23355444
2011,C32,B3,ctrl,Control,C,5,10,3.001877688,1.06,100000,10.6,9.432962264,30.01559489,31.81990349
2011,C32,B3,ctrl,Control,C,16,10,2.67,1.14,100000,11.4,8.770929825,26.6969562,30.438
2011,C32,B3,ctrl,Control,C,30,20,1.86,1.23,200000,24.6,16.2581626,37.1954244,45.756
2011,C32,B3,ctrl,Control,C,50,20,1.150145282,1.33,200000,26.6,15.03559398,22.99984625,30.5938645
2011,C32,B3,ctrl,Control,C,83,45,0.901914827,1.17,450000,52.65,38.45703846,40.58141863,47.48581564
2011,C32,B3,ctrl,Control,C,128,45,0.406446752,1.13,450000,50.85,39.81850885,18.28803706,20.66781734
