dateCollected,type,ID,rep,block,depth,BD,MC,coreLength,coreArea,coreVol,VMC,grid,lat,lon
23/10/2012,SP,30,3,1,15,1.08,0.21,50.9,7.092884,36.1,0.21,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,3,1,15,1.08,0.21,50.9,7.092884,36.1,0.21,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,2,1,30,1.23,0.18,61.2,7.092884,43.41,0.18,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,2,1,30,1.23,0.18,61.2,7.092884,43.41,0.18,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,1,1,30,1.24,0.18,36.3,7.092884,25.75,0.18,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,1,1,30,1.24,0.18,36.3,7.092884,25.75,0.18,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,3,1,30,1.1,0.19,44.4,7.092884,31.49,0.19,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,3,1,30,1.1,0.19,44.4,7.092884,31.49,0.19,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,1,1,50,1.44,0.18,67.9,7.092884,48.16,0.18,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,1,1,50,1.44,0.18,67.9,7.092884,48.16,0.18,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,2,1,50,1.41,0.18,51.8,7.092884,36.74,0.18,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,2,1,50,1.41,0.18,51.8,7.092884,36.74,0.18,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,3,1,50,1.35,0.18,52.6,7.092884,37.31,0.18,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,30,3,1,50,1.35,0.18,52.6,7.092884,37.31,0.18,TL0424552398,52.160023,-0.47748979
23/10/2012,SP,22,1,1,5,0.76,0.52,59,7.092884,41.85,0.52,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,1,1,5,0.76,0.52,59,7.092884,41.85,0.52,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,3,1,5,0.81,0.53,39,7.092884,27.66,0.53,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,3,1,5,0.81,0.53,39,7.092884,27.66,0.53,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,2,1,5,0.75,0.5,47.8,7.092884,33.9,0.5,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,2,1,5,0.75,0.5,47.8,7.092884,33.9,0.5,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,1,1,15,1.02,0.35,46.6,7.092884,33.05,0.35,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,1,1,15,1.02,0.35,46.6,7.092884,33.05,0.35,TL0427552443,52.160422,-0.47703759
08/12/2012,SP,22,2,1,15,1.13,0.39,70,7.092884,49.65,0.39,TL0427552443,52.160422,-0.47703759
08/12/2012,SP,22,2,1,15,1.13,0.39,70,7.092884,49.65,0.39,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,3,1,15,1.07,0.29,49.6,7.092884,35.18,0.29,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,3,1,15,1.07,0.29,49.6,7.092884,35.18,0.29,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,2,1,30,1.34,0.2,52.8,7.092884,37.45,0.2,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,2,1,30,1.34,0.2,52.8,7.092884,37.45,0.2,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,1,1,30,1.49,0.19,53,7.092884,37.59,0.19,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,1,1,30,1.49,0.19,53,7.092884,37.59,0.19,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,3,1,30,1.31,0.28,32,7.092884,22.7,0.28,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,3,1,30,1.31,0.28,32,7.092884,22.7,0.28,TL0427552443,52.160422,-0.47703759
08/12/2012,SP,22,1,1,50,1.4,0.24,63,7.092884,44.69,0.24,TL0427552443,52.160422,-0.47703759
08/12/2012,SP,22,1,1,50,1.4,0.24,63,7.092884,44.69,0.24,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,2,1,50,1.49,0.14,38.8,7.092884,27.52,0.14,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,2,1,50,1.49,0.14,38.8,7.092884,27.52,0.14,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,3,1,50,1.47,0.16,60.9,7.092884,43.2,0.16,TL0427552443,52.160422,-0.47703759
23/10/2012,SP,22,3,1,50,1.47,0.16,60.9,7.092884,43.2,0.16,TL0427552443,52.160422,-0.47703759
03/10/2012,PA,25,2,1,5,0.84,0.46,53.6,7.092884,38.02,0.46,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,2,1,5,0.84,0.46,53.6,7.092884,38.02,0.46,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,1,1,5,0.77,0.42,59.7,7.092884,42.34,0.42,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,1,1,5,0.77,0.42,59.7,7.092884,42.34,0.42,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,3,1,5,0.82,0.49,60.6,7.092884,42.98,0.49,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,3,1,5,0.82,0.49,60.6,7.092884,42.98,0.49,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,2,1,15,1.02,0.37,56.9,7.092884,40.36,0.37,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,2,1,15,1.02,0.37,56.9,7.092884,40.36,0.37,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,3,1,15,0.95,0.35,64.5,7.092884,45.75,0.35,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,3,1,15,0.95,0.35,64.5,7.092884,45.75,0.35,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,1,1,15,0.95,0.33,50.6,7.092884,35.89,0.33,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,1,1,15,0.95,0.33,50.6,7.092884,35.89,0.33,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,1,1,30,1.14,0.32,48.4,7.092884,34.33,0.32,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,1,1,30,1.14,0.32,48.4,7.092884,34.33,0.32,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,2,1,30,1.03,0.32,60.4,7.092884,42.84,0.32,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,2,1,30,1.03,0.32,60.4,7.092884,42.84,0.32,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,3,1,30,1.32,0.28,50.4,7.092884,35.75,0.28,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,3,1,30,1.32,0.28,50.4,7.092884,35.75,0.28,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,3,1,50,1.32,0.28,55.9,7.092884,39.65,0.28,TL0428352425,52.160259,-0.47692621
