NR.SAS,type,ID,depth,X_coord,Y_coord,block,depth1,di,reps,reps_included,ol_occ,OC2,BD,MC,coreLength,coreArea,coreVol,VMC,BD_g_mean,group_q75,group_q25,group_iqr,mEquiv,mMeas,BD1,mMeas1,tC1,MSOC1,vsoc1,tC,MSOC,vsoc
369,FW,6,3,504593.189,252315.545,2,30,20,1,1,FALSE,1.95841,1.45333333333333,0.196666666666667,50.8666666666667,7.092884,36.08,0.196666666666667,1.32933333333333,1.39,1.29,0.0999999999999999,2e+05,29.0666666666667,1.64226666666667,32.8453333333333,12.1762901680604,39.1617675370747,32.1623146266667,13.7594678899083,39.1625075549333,28.4622253333333
370,FW,6,4,504593.189,252315.545,2,50,20,1,1,FALSE,0.638448,1.47666666666667,0.146666666666667,45.8666666666667,7.092884,32.53,0.146666666666667,1.4285,1.47,1.37,0.0999999999999999,2e+05,29.5333333333333,1.66863333333333,33.3726666666667,11.9838566891069,12.7668293287712,10.653356144,13.5420180586907,12.76707445024,9.4277488
371,FW,6,5,504593.189,252315.545,2,83,45,1,1,FALSE,0.739997,1.47666666666667,0.146666666666667,45.8666666666667,7.092884,32.53,0.146666666666667,1.4285,1.47,1.37,0.0999999999999999,450000,66.45,1.66863333333333,75.0885,26.9636775504904,33.2943084735265,12.3478366076667,30.4695406320542,33.294947719935,10.9272890333333
372,FW,6,6,504593.189,252315.545,2,128,45,1,1,FALSE,0.4219,1.47666666666667,0.146666666666667,45.8666666666667,7.092884,32.53,0.146666666666667,1.4285,1.47,1.37,0.0999999999999999,450000,66.45,1.66863333333333,75.0885,26.9636775504904,18.982332016185,7.03996403333333,30.4695406320542,18.9826964745,6.23005666666667
373,FW,7,1,504643.189,252315.545,2,5,10,1,1,FALSE,4.213676,0.973333333333333,0.42,54.7333333333333,7.092884,38.8233333333333,0.42,0.948166666666667,0.9925,0.89,0.1025,1e+05,9.73333333333333,1.09986666666667,10.9986666666667,9.09101115286702,42.1321255182235,46.3448177653333,10.2729726027397,42.1326586886933,41.0131130666667
374,FW,7,2,504643.189,252315.545,2,15,10,1,1,FALSE,2.325549,1.22666666666667,0.306666666666667,54.5,7.092884,38.6566666666667,0.306666666666667,1.1935,1.24,1.14,0.1,1e+05,12.2666666666667,1.38613333333333,13.8613333333333,7.21331319738361,23.2522664790128,32.235209872,8.15117391304348,23.25263732656,28.5267344
375,FW,7,3,504643.189,252315.545,2,30,20,1,1,FALSE,1.787174,1.36,0.226666666666667,43.7333333333333,7.092884,31.02,0.226666666666667,1.32933333333333,1.39,1.29,0.0999999999999999,2e+05,27.2,1.5368,30.736,13.012055179594,35.7379869419936,27.465290032,14.7038823529412,35.73861888672,24.3055664
376,FW,7,4,504643.189,252315.545,2,50,20,1,1,FALSE,0.731648,1.42333333333333,0.233333333333333,52.1333333333333,7.092884,36.9766666666667,0.233333333333333,1.4285,1.47,1.37,0.0999999999999999,2e+05,28.4666666666667,1.60836666666667,32.1673333333333,12.4329754409235,14.6306064834901,11.7675825493333,14.0495222482436,14.6308772420267,10.4137898666667
377,FW,7,5,504643.189,252315.545,2,83,45,1,1,FALSE,0.889993,1.42333333333333,0.233333333333333,52.1333333333333,7.092884,36.9766666666667,0.233333333333333,1.4285,1.47,1.37,0.0999999999999999,450000,64.05,1.60836666666667,72.3765,27.9741947420779,40.0432435421636,14.3143507476667,31.611425058548,40.043984594835,12.6675670333333
378,FW,7,6,504643.189,252315.545,2,128,45,1,1,FALSE,0.903629,1.42333333333333,0.233333333333333,52.1333333333333,7.092884,36.9766666666667,0.233333333333333,1.4285,1.47,1.37,0.0999999999999999,450000,64.05,1.60836666666667,72.3765,27.9741947420779,40.6567648495681,14.5336676263333,31.611425058548,40.657517256255,12.8616527666667
